,artist,album,track
521,DOUBLECAMP,Wake Up,Wake Up
522,Charlie Puth,Voicenotes,How Long
523,Elton John,Diamonds,I Guess That's Why They Call It The Blues - Remastered
524,Glass Animals,How To Be A Human Being,Cane Shuga
525,Cadillac Sky,Blind Man Walking,Born Lonesome
526,Jalen Santoy,Foreplay,Foreplay
527,DaBaby,KIRK,TOES (feat. Lil Baby & Moneybagg Yo)
528,Black Coast,Trndsttr,Trndsttr - Lucian Remix
529,MGMT,Oracular Spectacular,Electric Feel
530,Shaggy,Hot Shot,It Wasn't Me
531,Vampire Weekend,Father of the Bride,This Life
532,Harry Styles,Fine Line,Lights Up
533,Glass Animals,How To Be A Human Being,Pork Soda
534,Jon Bellion,The Human Condition,Hand Of God - Outro
535,The Growlers,Chinese Fountain,Going Gets Tough
536,Jack Johnson,From Here To Now To You,Tape Deck
537,GRACEY,Imposter Syndrome,Fingers Crossed
538,Lewis Blissett,Killing Butterflies,Killing Butterflies
539,Beck,Colors,Wow
540,Joe Walsh,"But Seriously, Folks...",Life's Been Good
541,Zion I,The Take Over,Coastin'
542,Elton John,Diamonds,Rocket Man (I Think It's Going To Be A Long Long Time) - Remastered
543,Frank Ocean,Moon River,Moon River
544,Sia,"LABRINTH, SIA & DIPLO PRESENT... LSD","Thunderclouds (feat. Sia, Diplo, and Labrinth)"
545,Quinn XCII,From Michigan With Love,Werewolf (feat. Yoshi Flower)
546,Fleetwood Mac,Fleetwood Mac,Landslide
547,John Mayer,Continuum,Waiting On the World to Change
548,Bazzi,Soul Searching,Can We Go Back to Bed?
549,Childish Gambino,Kauai,Sober
550,Alexander 23,I'm Sorry I Love You,Mars
551,Khalid,Suncity,Suncity (feat. Empress Of)
552,Troye Sivan,Easy,Easy
553,Yael Naim,Yael Naïm,New Soul
554,Sara Bareilles,Little Voice,Love Song
555,Andy Grammer,Andy Grammer,Keep Your Head Up
556,INZO,Overthinker,Overthinker
557,NF,Perception,Let You Down
558,dwilly,CRAYOLA,fade
559,Young the Giant,Mirror Master,Heat of the Summer
560,La Roux,La Roux,Bulletproof
561,Jullian,Buttercup,Buttercup
562,The Five Stairsteps,The First Family of Soul: The Best of The Five Stairsteps,O-o-h Child
563,Tiësto,BLUE,BLUE
564,Vanic,Too Soon (Remixes) (feat. Maty Noyes),Too Soon (feat. Maty Noyes) - heroless Remix
565,Declan McKenna,What Do You Think About the Car?,Brazil
566,New Politics,Vikings,West End Kids
567,Tow'rs,New Nostalgia,Water Under the Bridge
568,U2,War,Sunday Bloody Sunday - Remastered 2008
569,Lorde,Melodrama,Liability
570,Russ,There's Really A Wolf,Losin Control
571,Staring in Spaces,Stop Talking,Dance With U
572,Diplo,Get It Right,Get It Right
573,Metro Station,Metro Station,Shake It
574,Ritt Momney,Her and All of My Friends,Phoebe
575,Hozier,"Wasteland, Baby!",To Noise Making (Sing)
576,Quinn XCII,From Michigan With Love,Holding Hands (feat. Elohim)
577,Rex Orange County,Apricot Princess,Television / So Far So Good
578,Hozier,Hozier (Expanded Edition),Work Song
579,Troye Sivan,Bloom,Animal
580,Vance Joy,Nation of Two,Like Gold
581,Marshmello,Joytime III,Put Yo Hands Up
582,Alexander 23,I'm Sorry I Love You,See You Later
583,Adam Melchor,SUMMER CAMP,30 MINUTES
584,Declan McKenna,What Do You Think About the Car?,Why Do You Feel So Down
585,Family of the Year,Loma Vista,Hero
586,American Authors,Microphone,Microphone
587,DJYung$avage,Scorpion (Chopped & Screwed),Sandra's Rose
588,Eagles,The Very Best of the Eagles,Life in the Fast Lane - 2013 Remaster
589,Billie Eilish,come out and play,come out and play
590,Little Mix,LM5 (Deluxe),Wasabi
591,The Vamps,Meet The Vamps,Somebody To You
592,Bryce Vine,The Fall,The Fall
593,Jack Johnson,Sleep Through The Static,If I Had Eyes
594,Lostboycrow,Santa Fe,Since the Day I Was Born
595,Labrinth,Imagination & the Misfit Kid,Where The Wild Things
596,Khalid,Free Spirit,Don't Pretend (feat. SAFE)
597,Coldplay,Parachutes,Yellow
598,Bazzi,Young & Alive,Young & Alive
599,Jon Bellion,The Human Condition,He Is The Same
600,Alessia Cara,The Pains Of Growing,Not Today
601,Jon Bellion,Crop Circles,Crop Circles
602,Ariana Grande,"thank u, next","thank u, next"
603,Cailee Rae,Deeper,Deeper
604,Coldplay,Parachutes,Don't Panic
605,Shawn Mendes,Shawn Mendes,In My Blood
606,Alina Baraz,Electric (feat. Khalid),Electric (feat. Khalid)
607,Bruno Mars,Unorthodox Jukebox,Gorilla
608,Elton John,Madman Across The Water,Tiny Dancer
609,Lady Gaga,A Star Is Born Soundtrack,Shallow
610,Cold War Kids,Hold My Home,First
611,The Head and the Heart,Let's Be Still,Gone
612,The Beatles,Yellow Submarine Songtrack,Eleanor Rigby
613,Mumford & Sons,Babel,I Will Wait
614,Judah & the Lion,Folk Hop N' Roll,Take It All Back 2.0
615,Jon Bellion,The Human Condition,Guillotine
616,Mumford & Sons,Blind Leading The Blind,Blind Leading The Blind
617,Queen,The Platinum Collection,We Are The Champions - Remastered 2011
618,Jack Johnson,In Between Dreams,Constellations
619,Hippo Campus,Landmark,Buttercup
620,Two Feet,Love Is a Bitch,Love Is a Bitch
621,The Killers,Hot Fuss,Mr. Brightside
622,Hozier,"Wasteland, Baby!",Almost (Sweet Music)
623,ROLE MODEL,"oh, how perfect",hello!
624,Baaba Maal,The Traveller,There Will Be Time
625,Chance the Rapper,Acid Rap,Cocoa Butter Kisses
626,Childish Gambino,"""Awaken, My Love!""",Redbone
627,Passenger,All the Little Lights,Let Her Go
628,Hippo Campus,Demos II,Ease up Kid - Demo
629,Walk Off the Earth,Sing It All Away,Rule the World
630,Hozier,"Wasteland, Baby!",Movement
631,Commodores,Commodores,Easy
632,U2,The Joshua Tree,One Tree Hill
633,Ariana Grande,"thank u, next","break up with your girlfriend, i'm bored"
634,Don Toliver,Heaven Or Hell,After Party
635,Tove Lo,BLUE LIPS,cycles
636,Wes Walker,Jordan Belfort,Jordan Belfort
637,Khalid,Suncity,Better
638,The Head and the Heart,The Head and the Heart,Sounds Like Hallelujah
639,Marshmello,FRIENDS,FRIENDS
640,DJ Snake,Encore,Middle
641,Eagles,The Very Best of the Eagles,Lyin' Eyes - 2013 Remaster
642,Queen,The Platinum Collection,We Will Rock You - Remastered
643,Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop
644,Arctic Monkeys,AM,Knee Socks
645,The Chainsmokers,Roses (feat. ROZES),Roses (feat. ROZES)
646,Whethan,"Life of a Wallflower, Vol. 1",Good Nights (feat. Mascolo)
647,Shawn Mendes,Señorita,Señorita
648,Sia,"LABRINTH, SIA & DIPLO PRESENT... LSD","Audio (feat. Sia, Diplo, and Labrinth)"
649,Louis The Child,Love Is Alive,Love Is Alive
650,Mac Miller,Swimming,Jet Fuel
651,Khalid,American Teen,Hopeless
652,Julia Michaels,Fifty Shades Freed,Heaven
653,Big Boi,BOOMIVERSE,All Night
654,Cage The Elephant,Social Cues,Night Running
655,Louis The Child,Kids At Play- EP,LOVE (with Elohim)
656,YG,4REAL 4REAL,"Go Loko (feat. Tyga, Jon Z)"
657,Dua Lipa,Dua Lipa,Garden
658,Bastille,Wild World,Good Grief
659,Ruel,Dazed & Confused,Dazed & Confused
660,Ingrid Michaelson,Be OK,Can't Help Falling In Love (Recorded Live at Daytrotter)
661,PRETTYMUCH,Phases,Phases
662,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",my strange addiction
663,Shelley FKA DRAM,Broccoli,Broccoli
664,Troye Sivan,Bloom,Plum
665,Alec Benjamin,These Two Windows,Mind Is A Prison
666,Kaiydo,Fruit Punch,Fruit Punch
667,Coldplay,Ghost Stories,A Sky Full of Stars
668,Khalid,Know Your Worth,Know Your Worth
669,Melanie Faye,Super Sad Always,Super Sad Always
670,AJR,The Click,Netflix Trip
671,Jack Stauber's Micropop,Shop: A Pop Opera,Coffee
672,Mat Kearney,CRAZYTALK,Memorized
673,DOUBLECAMP,Whenever You Call,Whenever You Call
674,Ryan Beatty,Boy in Jeans,Haircut
675,Selena Gomez,Wolves,Wolves
676,Alec Benjamin,The Book of You & I,Oh My God
677,The Beatles,Beatles For Sale,Eight Days A Week - Remastered 2009
678,half•alive,3,The Fall
679,Post Malone,Stoney,Congratulations
680,Lauv,~how i'm feeling~,Mean It
681,Kesha,Cannibal (Expanded Edition),We R Who We R
682,MØ,Forever Neverland,Beautiful Wreck
683,Ben E. King,Don't Play That Song,Stand by Me
684,KYLE,Smyle,Don't Wanna Fall In Love
685,Maroon 5,Songs About Jane: 10th Anniversary Edition,Sunday Morning
686,Yung Gravy,Snow Cougar,Mr. Clean
687,Kim Petras,All the Time,All the Time
688,Hermitude,Dark Night Sweet Light,"The Buzz (feat. Big K.R.I.T., Mataya & Young Tapz) - Bonus Track"
689,Quinn XCII,Bloom,New Wave
690,Dua Lipa,Swan Song,"Swan Song - From the Motion Picture ""Alita: Battle Angel"""
691,Lady Gaga,A Star Is Born Soundtrack,Heal Me
692,Eagles,The Very Best of the Eagles,Tequila Sunrise - 2013 Remaster
693,The Strumbellas,Hope,We Don't Know
694,Marc E. Bassy,Groovy People,Dirty Water
695,Tame Impala,The Slow Rush,Lost In Yesterday
696,BENEE,FIRE ON MARZZ,Afterlife
697,Wrabel,11 Blocks,11 Blocks
698,Yung Gravy,Welcome to Chilis,Welcome to Chilis
699,Alexander 23,I'm Sorry I Love You,The Internet
700,EBEN,Past Hundred Days,That's Alright
701,ZAYN,Dusk Till Dawn,Dusk Till Dawn - Radio Edit
702,Jack Johnson,In Between Dreams,Do You Remember
703,Alanis Morissette,Jagged Little Pill,You Oughta Know - 2015 Remaster
704,Louis The Child,Here For Now,Nobody Like You (with Vera Blue)
705,Glass Animals,How To Be A Human Being,The Other Side Of Paradise
706,Anna Sofia,Self Aware Bitch,Self Aware Bitch
707,Soundtrack Wonder Band,Modern Folk Music from the Movies,"Awake My Soul (From ""Bella Vita"")"
708,Maroon 5,Nobody's Love,Nobody's Love
709,Eagles,The Very Best of the Eagles,Take It Easy - 2013 Remaster
710,Tame Impala,Currents,"New Person, Same Old Mistakes"
711,Glass Animals,Dreamland,Dreamland
712,Imagine Dragons,Smoke + Mirrors,Polaroid
713,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",8
714,Alec Benjamin,Narrated For You,Water Fountain
715,Cannon,Water Glass,Water Glass
716,Jon Bellion,The Human Condition,80's Films
717,Louis The Child,Shake Something (feat. Joey Purp),Shake Something (feat. Joey Purp)
718,Łaszewo,Fuck Your Sunshine,Fuck Your Sunshine
719,Hayley Kiyoko,Expectations,What I Need (feat. Kehlani)
720,Kacey Musgraves,Golden Hour,Velvet Elvis
721,Axwell /\ Ingrosso,More Than You Know,More Than You Know
722,Kendrick Lamar,DAMN.,LOVE. FEAT. ZACARI.
723,Billie Eilish,dont smile at me,COPYCAT
724,The Chainsmokers,World War Joy...Takeaway,Takeaway (feat. Lennon Stella)
725,Ed Sheeran,No.6 Collaborations Project,Beautiful People (feat. Khalid)
726,Billie Eilish,dont smile at me,idontwannabeyouanymore
727,Loud Luxury,I'm Not Alright,I'm Not Alright
728,Eagles,One of These Nights,One of These Nights - 2013 Remaster
729,Portugal. The Man,Woodstock,Live in the Moment
730,Lil Baby,Harder Than Ever,Yes Indeed
731,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",when the party's over
732,Rita Ora,Phoenix,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)"
733,Sia,"LABRINTH, SIA & DIPLO PRESENT... LSD","Genius (feat. Sia, Diplo, and Labrinth)"
734,The Black Keys,El Camino,Gold on the Ceiling
735,Cuco,Chiquito,Dontmakemefallinlove
736,dwilly,CRAYOLA,crayola
737,Hailee Steinfeld,Afterlife (Dickinson),Afterlife
738,Lady Gaga,A Star Is Born Soundtrack,Always Remember Us This Way
739,Son Lux,Lanterns,Lost It To Trying
740,KYLE,Light of Mine,Playinwitme (feat. Kehlani)
741,Grouplove,Spreading Rumours,Ways to Go
742,Zara Larsson,So Good,Never Forget You
743,Coldplay,A Rush of Blood to the Head,Clocks
744,Migos,Culture,Slippery (feat. Gucci Mane)
745,The Beatles,Let It Be,Let It Be - Remastered 2009
746,Post Malone,Hollywood's Bleeding,Wow.
747,John Mayer,Room For Squares,Neon
748,24kGoldn,VALENTINO,VALENTINO
749,benny blanco,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid)
750,Hanni El Khatib,FLIGHT,ALIVE
751,Bon Iver,"For Emma, Forever Ago",Skinny Love
752,Jackson Penn,Sick in the Head,Sick in the Head
753,FRENSHIP,Truce - EP,Capsize
754,Flume,Skin Companion EP II,Depth Charge
755,David Guetta,7,Flames
756,Fatboy Slim,You've Come A Long Way Baby,Praise You
757,Elton John,Diamonds,Don't Go Breaking My Heart - Remastered
758,Bad Suns,Disappear Here,Daft Pretty Boys
759,Quinn XCII,Change of Scenery,Another Day in Paradise
760,Bryce Vine,Carnival,La La Land (feat. YG)
761,Dua Lipa,New Love,New Love
762,Y2K,"Go Dumb (feat. blackbear, The Kid LAROI and Bankrol Hayden)","Go Dumb (feat. blackbear, The Kid LAROI and Bankrol Hayden)"
763,Florence + The Machine,Lungs,You've Got The Love
764,Imagine Dragons,Night Visions,It's Time
765,Post Malone,beerbongs & bentleys,Sugar Wraith
766,Labrinth,Imagination & the Misfit Kid,Mount Everest
767,Glass Animals,How To Be A Human Being,Life Itself
768,Charli XCX,Pop 2,Unlock It (feat. Kim Petras and Jay Park)
769,Andrew Belle,Dive Deep,When the End Comes
770,Post Malone,beerbongs & bentleys,Same Bitches (feat. G-Eazy & YG)
771,Emily Warren,Quiet Your Mind,Paranoid
772,OneRepublic,Wanted,Wanted
773,Mumford & Sons,Sigh No More,Little Lion Man
774,BENEE,STELLA & STEVE,Supalonely
775,Noah Cyrus,July,July
776,Sam Smith,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani)
777,Peach Tree Rascals,Things Won't Go My Way,Things Won't Go My Way
778,Alec Benjamin,Must Have Been The Wind,Must Have Been The Wind
779,Jon Bellion,Glory Sound Prep,Mah's Joint (feat. Quincy Jones)
780,The Beatles,Past Masters,I Want To Hold Your Hand - Remastered 2009
781,Ingrid Michaelson,Girls and Boys,The Way I Am
782,Hozier,Hozier (Expanded Edition),From Eden
783,Paul McCartney,Ram,Uncle Albert / Admiral Halsey - Medley / Remastered 2012
784,Michael Franti & Spearhead,The Sound Of Sunshine,The Sound Of Sunshine
785,Harry Styles,Fine Line,"Sunflower, Vol. 6"
786,Billie Eilish,dont smile at me,&burn (with Vince Staples)
787,Jack Garratt,Phase,Surprise Yourself
788,Shallou,Older,Older
789,The Head and the Heart,Signs of Light,All We Ever Knew
790,Rae Sremmurd,SremmLife,This Could Be Us
791,Broken Bells,Broken Bells,The High Road
792,Arcade Fire,Funeral,Wake Up
793,Whethan,"Life of a Wallflower, Vol. 1",Wallflower
794,The Avett Brothers,I And Love And You,Head Full Of Doubt/Road Full Of Promise
795,Quinn XCII,The Story of Us,Straightjacket
796,Vindata,Favor,Favor
797,Chance the Rapper,Coloring Book,All We Got (feat. Kanye West & Chicago Children's Choir)
798,Bazzi,Soul Searching,Who Am I?
799,Migos,Culture II,Walk It Talk It
800,Bryce Vine,Carnival,Drew Barrymore
801,Coldplay,Viva La Vida or Death and All His Friends,Viva La Vida
802,Natasha Bedingfield,Unwritten,Unwritten
803,Matthew Hall,The Polar Express (Original Motion Picture Soundtrack),When Christmas Comes to Town
804,Meek Mill,Championships,Going Bad (feat. Drake)
805,Martin Garrix,Scared to Be Lonely,Scared to Be Lonely
806,Ritt Momney,Her and All of My Friends,Paper News
807,Bryce Vine,Lazy Fair,Where The Wild Things Are
808,The Kooks,The Best Of... So Far,Bad Habit
809,Alec Benjamin,Narrated For You,Let Me Down Slowly
810,Sam.Sts,Applesauce,Applesauce
811,Cold War Kids,New Age Norms 1,Dirt in my Eyes
812,Justin Bieber,Journals,Confident
813,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours
814,Kygo,Cloud Nine,Nothing Left (feat. Will Heard)
815,NGHTMRE,GUD VIBRATIONS,GUD VIBRATIONS
816,Big Gigantic,Free Your Mind,Friends
817,Death Cab for Cutie,Plans,Soul Meets Body
818,MKTO,MKTO,Classic
819,Shakey Graves,And The War Came,Dearly Departed (feat. Esmé Patterson)
820,XXXTENTACION,?,Moonlight
821,Third Eye Blind,Blue,Never Let You Go - 2008 Remaster
822,Daniel Caesar,Freudian,Best Part (feat. H.E.R.)
823,Phoenix,Wolfgang Amadeus Phoenix,1901
824,Fitz and The Tantrums,Fitz and The Tantrums,HandClap
825,Post Malone,Stoney,Go Flex
826,Sufjan Stevens,Carrie & Lowell,Should Have Known Better
827,Paris Blohm,Let Me Go,Let Me Go
828,Khalid,Suncity,Motion
829,Mumford & Sons,Sigh No More,White Blank Page
830,The Cardigans,First Band On The Moon,Lovefool
831,Don McLean,American Pie,American Pie
832,Kungs,Layers,This Girl (Kungs Vs. Cookin' On 3 Burners)
833,Billie Eilish,my future,my future
834,Tiësto,Harder (feat. Talay Riley),Harder (feat. Talay Riley)
835,Gryffin,Winnebago (feat. Quinn XCII & Daniel Wilson),Winnebago (feat. Quinn XCII & Daniel Wilson)
836,Kendrick Lamar,Black Panther The Album Music From And Inspired By,All The Stars (with SZA)
837,Mumford & Sons,Babel,Lover of the Light
838,Ruslan,Via Text,Friends
839,Alec Benjamin,Narrated For You,1994
840,Troye Sivan,Blue Neighbourhood,FOOLS
841,Alec Benjamin,These Two Windows,Jesus In LA
842,Ritt Momney,Put Your Records On,Put Your Records On
843,Soleima,Bulldog,Friend
844,Cold War Kids,LA DIVINE,So Tied Up
845,Bridgit Mendler,Atlantis (Tunji Ige Remix),Atlantis (Tunji Ige Remix)
846,half•alive,"Now, Not Yet",ice cold. (with Kimbra)
847,AJR,The Click,Drama
848,Still Woozy,Lucy,Lucy
849,Evaride,Warrior,Warrior
850,Jai Wolf,Like It's Over (feat. MNDR),Like It's Over (feat. MNDR)
851,Lil Mosey,Blueberry Faygo,Blueberry Faygo
852,Bryce Vine,Baby Girl,Baby Girl
853,Phoenix,Wolfgang Amadeus Phoenix,Lisztomania
854,Vampire Weekend,Modern Vampires of the City,Unbelievers
855,BØRNS,Dopamine,American Money
856,3OH!3,WANT,DONTTRUSTME
857,DOUBLECAMP,Dreamers,Dreamers
858,Dirty Heads,Sound Of Change,My Sweet Summer
859,XXXTENTACION,SKINS,whoa (mind in awe)
860,Louis The Child,Kids At Play- EP,Breaking News (with RAYE)
861,Hippo Campus,South - Single,South
862,The Head and the Heart,The Head and the Heart,Down in the Valley
863,Bad Suns,Language & Perspective,Cardiac Arrest
864,KDrew,Body of Gold,Body of Gold
865,SYML,SYML,WDWGILY
866,AJR,Neotheater,"Wow, I'm Not Crazy"
867,Imagine Dragons,Origins,West Coast
868,6LACK,Seasons (with Khalid),Seasons (with Khalid)
869,5 Seconds of Summer,Youngblood,Want You Back
870,Hozier,Hozier (Expanded Edition),Someone New
871,Eagles,Their Greatest Hits 1971-1975,Already Gone - 2013 Remaster
872,John Mayer,The Search for Everything,Love on the Weekend
873,Kim Petras,Hillside Boys,Hillside Boys
874,Elton John,Elton John,Your Song
875,Khalid,Free Spirit,Outta My Head (with John Mayer)
876,WESLEE,Bathwater,Bathwater
877,Doja Cat,Hot Pink,Cyber Sex
878,Quinn XCII,The Story of Us,Don't You
879,Dennis Lloyd,Never Go Back,Never Go Back
880,M83,"Hurry Up, We're Dreaming",Midnight City
881,The Killers,Day & Age,Human
882,Lil Mosey,Certified Hitmaker,Blueberry Faygo
883,Peach Tree Rascals,Violet,Violet
884,The Chainsmokers,World War Joy,Who Do You Love
885,Childish Gambino,Because the Internet,3005
886,Frank Ocean,Blonde,Ivy
887,DNCE,People To People,Still Good
888,The Beatles,The Beatles,"Ob-La-Di, Ob-La-Da - Remastered 2009"
889,Birdtalker,One,Looking for Love (Acoustic)
890,M83,"Hurry Up, We're Dreaming",Wait
891,The Beatles,Abbey Road,Something - Remastered 2009
892,Post Malone,Hollywood's Bleeding,On The Road (feat. Meek Mill & Lil Baby)
893,Matthew Mole,The Home We Built,"Take Yours, I'll Take Mine"
894,Troye Sivan,Bloom,Bloom
895,Sufjan Stevens,Call Me by Your Name (Original Motion Picture Soundtrack),Mystery of Love
896,FKJ,Go Back Home,Go Back Home
897,Van Morrison,The Essential Van Morrison,Wild Night
898,Troye Sivan,Blue Neighbourhood,YOUTH
899,Louis The Child,Here For Now,Bittersweet
900,Happyman,Hot Crowd,Sunjack
901,Labrinth,Don't Fence Me In,Don't Fence Me In
902,Bruno Mars,24K Magic,Finesse
903,Billie Eilish,Ocean Eyes,Ocean Eyes - Astronomyy Remix
904,"Tyler, The Creator",IGOR,I THINK
905,Dzeko,California (feat. Brynn Elliott),California (feat. Brynn Elliott)
906,Tow'rs,New Nostalgia,Melancholy Blues
907,Lostboycrow,Strawberry Sunscreen,Strawberry Sunscreen
908,Quinn XCII,A Letter To My Younger Self,Am I High Rn (feat. blackbear)
909,Drake,Scorpion,In My Feelings
910,Lil Nas X,7 EP,Old Town Road - Remix
911,THE SCOTTS,THE SCOTTS,THE SCOTTS
912,Alicia Keys,The Diary Of Alicia Keys,If I Ain't Got You
913,American Authors,What We Live For,I'm Born To Run
914,Labrinth,Euphoria (Original Score from the HBO Series),Still Don't Know My Name
915,Robert DeLong,Favorite Color Is Blue,Favorite Color Is Blue
916,Lady Gaga,A Star Is Born Soundtrack,I'll Never Love Again - Film Version
917,Those Dancing Days,Daydreams & Nightmares,I'll Be Yours
918,Post Malone,beerbongs & bentleys,Psycho (feat. Ty Dolla $ign)
919,Ben Rector,Brand New,Brand New
920,Starley,EPIC LIT,Call on Me - Ryan Riback Remix
921,Vampire Weekend,Vampire Weekend,A-Punk
922,Steve Aoki,Maldad,Maldad - R3HAB Remix
923,Lorde,Pure Heroine,Ribs
924,The Revivalists,Men Amongst Mountains,Gold To Glass
925,Fleet Foxes,Fleet Foxes,White Winter Hymnal
926,Milky Chance,Sadnecessary,Stolen Dance
927,Train,a girl a bottle a boat,Drink Up
928,Neon Trees,Habits,Animal
929,Lady Gaga,A Star Is Born Soundtrack,Look What I Found
930,Labrinth,Imagination & the Misfit Kid,Like A Movie
931,Labrinth,Imagination & the Misfit Kid,Dotted line / Juju Man
932,Labrinth,Euphoria (Original Score from the HBO Series),When I R.I.P.
933,Death Cab for Cutie,Plans,Someday You Will Be Loved
934,Justin Bieber,Intentions,Intentions
935,Bishop Briggs,Church Of Scars,River
936,Black Eyed Peas,Elephunk,Where Is The Love?
937,Lady Gaga,A Star Is Born Soundtrack,Music To My Eyes
938,Kygo,Remind Me to Forget,Remind Me to Forget
939,Alan Walker,Different World,Darkside
940,Lord Huron,Strange Trails,The Night We Met
941,Alessia Cara,Know-It-All,Wild Things
942,Elijah Midjord,Good Ol' Days,Good Ol' Days
943,Big Wild,Show Me,Show Me
944,Ski Mask The Slump God,STOKELEY,Foot Fungus
945,Whethan,"Life of a Wallflower, Vol. 1",Superlove (feat. Oh Wonder)
946,AJR,The Click,Come Hang Out
947,alt-J,An Awesome Wave,Ms
948,Florence + The Machine,"How Big, How Blue, How Beautiful",Ship To Wreck
949,Biz Markie,Biz's Baddest Beats: The Best Of Biz Markie,Just a Friend
950,Jason Mraz,We Sing. We Dance. We Steal Things.,Lucky
951,Petit Biscuit,We Were Young,We Were Young (DROELOE Remix)
952,Tow'rs,Tow'rs,Vanilla Pines
953,Culture Club,At Worst...The Best Of Boy George And Culture Club,Karma Chameleon
954,Chord Overstreet,Hold On,Hold On - Remix
955,Tow'rs,Grey Fidelity,Consolations
956,John K,if we never met,if we never met
957,Rihanna,Talk That Talk,We Found Love
958,Capital Cities,In A Tidal Wave Of Mystery,Safe And Sound
959,John Mayer,Continuum,The Heart of Life
960,blackbear,hot girl bummer,hot girl bummer
961,Bruno Mars,Doo-Wops & Hooligans,Just the Way You Are
962,Troye Sivan,Blue Neighbourhood,for him.
963,LOONY,JOYRiDE,iN CODE
964,Chance the Rapper,The Big Day,Hot Shower
965,Zedd,The Middle,The Middle
966,Louis The Child,It's Strange,It's Strange
967,Daya,Safe,Safe
968,Bastille,Quarter Past Midnight,Quarter Past Midnight
969,Quinn XCII,A Letter To My Younger Self,Sleep While I Drive (feat. Ashe)
970,Taylor Swift,1989,Blank Space
971,Paramore,Paramore,Still into You
972,MELVV,Anything Else,Anything Else
973,Rex Orange County,Apricot Princess,Apricot Princess
974,Hot Chelle Rae,Whatever,Tonight Tonight
975,Big Wild,Invincible EP,When I Get There
976,Chris Isaak,Best of Chris Isaak (Remastered),Wicked Game
977,Flume,Rushing Back,Rushing Back - Instrumental
978,Quinn XCII,Stacy,Stacy
979,Dean Lewis,A Place We Knew,Half A Man
980,Said the Sky,Wide-Eyed,Over Getting Over You
981,Lady Gaga,A Star Is Born Soundtrack,Always Remember Us This Way
982,Mac Miller,Swimming,Ladders
983,Cobra Starship,Night Shades,You Make Me Feel... (feat. Sabi)
984,Noah Cyrus,Make Me (Cry),Make Me (Cry)
985,Fitz and The Tantrums,More Than Just a Dream,Fools Gold
986,Madison Beer,Hurts Like Hell (feat. Offset),Hurts Like Hell (feat. Offset)
987,Mura Masa,Complicated,Complicated
988,Griffin Stoller,With You,With You
989,BROCKHAMPTON,SATURATION III,BLEACH
990,The Oh Hellos,The Oh Hellos EP,Cold Is The Night
991,Lord Huron,Strange Trails,Meet Me in the Woods
992,U2,All That You Can't Leave Behind,Beautiful Day
993,Violent Femmes,Violent Femmes,Blister In The Sun
994,The Lumineers,Storks (Original Motion Picture Soundtrack),Holdin' Out
995,Owl City,Ocean Eyes,Fireflies
996,Queen,The Platinum Collection,Somebody To Love - 2011 Mix
997,Labrinth,All For Us,All For Us - from the HBO Original Series Euphoria
998,Metronomy,Metronomy Forever,Salted Caramel Ice Cream
999,Tame Impala,Currents,'Cause I'm A Man
1000,Louis The Child,Love Is Alive EP,Phone Died (feat. blaise railey)
1001,Death Cab for Cutie,Plans,I Will Follow You into the Dark
1002,Jeremy Zucker,better off,better off - filous remix
1003,Justin Hurwitz,La La Land,Mia & Sebastian’s Theme
1004,Alec Benjamin,These Two Windows,The Book of You & I
1005,OutKast,Speakerboxxx/The Love Below,Hey Ya! - Radio Mix
1006,WALK THE MOON,What If Nothing,Kamikaze
1007,Hippo Campus,Landmark,Vines
1008,half•alive,still feel.,still feel.
1009,BANKS,The Altar,Gemini Feed
1010,Bien,Confetti,Confetti
1011,Grant,Starship,Starship
1012,Maroon 5,Songs About Jane: 10th Anniversary Edition,She Will Be Loved - Radio Mix
1013,Bryce Vine,Problems (feat. Grady),Problems (feat. Grady)
1014,Five For Fighting,Playlist: The Very Best Of Five For Fighting,100 Years
1015,Sia,Together,Together
1016,Bebe Rexha,All Your Fault: Pt. 2,Meant to Be (feat. Florida Georgia Line)
1017,XXXTENTACION,17,Jocelyn Flores
1018,Mumford & Sons,Sigh No More,The Cave
1019,Flo Rida,Wild Ones,I Cry
1020,Cage The Elephant,Social Cues,Ready To Let Go
1021,Rex Orange County,Uno,Uno
1022,Matoma,One in a Million,Sunday Morning (feat. Josie Dunne)
1023,Rudimental,Toast to Our Differences,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)"
1024,King Harvest,Dancing in the Moonlight,Dancing in the Moonlight
1025,Hayley Kiyoko,Expectations,Let It Be
1026,Natasha Bedingfield,Pocketful Of Sunshine,Pocketful of Sunshine
1027,Pink Sweat$,Honesty,Honesty
1028,Vampire Weekend,Vampire Weekend,Oxford Comma
1029,Billie Eilish,Six Feet Under,Six Feet Under
1030,Post Malone,beerbongs & bentleys,Paranoid
