,artistName,trackName,end_time,day_of_week,time_played,skipped
1512,Quinn XCII,Autopilot,2019-11-04 03:02:00,0,0 days 00:00:08.742000000,True
1513,Billie Eilish,bellyache,2019-11-04 03:02:00,0,0 days 00:02:59.172000000,False
1514,Kacey Musgraves,Butterflies,2019-11-04 03:02:00,0,0 days 00:00:00.673000000,True
1515,Emily Warren,Paranoid,2019-11-04 03:02:00,0,0 days 00:00:00.673000000,True
1516,Lady Gaga,Shallow,2019-11-04 03:03:00,0,0 days 00:00:00.626000000,True
1517,Emily Warren,Paranoid,2019-11-04 03:06:00,0,0 days 00:03:08.940000000,False
1518,Lennon Stella,La Di Da,2019-11-04 03:11:00,0,0 days 00:04:02.397000000,False
1519,Alec Benjamin,Water Fountain,2019-11-04 03:12:00,0,0 days 00:00:18.919000000,True
1520,Kacey Musgraves,Velvet Elvis,2019-11-04 03:12:00,0,0 days 00:00:00.116000000,True
1521,Kacey Musgraves,Velvet Elvis,2019-11-04 03:12:00,0,0 days 00:00:01.160000000,True
1522,Post Malone,Allergic,2019-11-04 03:12:00,0,0 days 00:00:00.835000000,True
1523,half•alive,still feel.,2019-11-04 03:12:00,0,0 days 00:00:01.137000000,True
1524,half•alive,still feel.,2019-11-04 03:12:00,0,0 days 00:00:00.534000000,True
1525,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",2019-11-04 03:12:00,0,0 days 00:00:00.975000000,True
1526,Bryce Vine,La La Land (feat. YG) - ARKADI Remix,2019-11-04 03:15:00,0,0 days 00:02:52.849000000,False
1527,Louis The Child,Last To Leave (feat. Caroline Ailin),2019-11-04 03:18:00,0,0 days 00:03:00.147000000,False
1528,Death Cab for Cutie,I Dreamt We Spoke Again - Louis the Child Remix,2019-11-04 03:19:00,0,0 days 00:01:15.642000000,False
1529,AJR,Birthday Party,2019-11-04 17:36:00,0,0 days 00:03:43.947000000,False
1530,Post Malone,I'm Gonna Be,2019-11-04 17:40:00,0,0 days 00:03:20.680000000,False
1531,Disclosure,Omen,2019-11-04 17:43:00,0,0 days 00:03:50.250000000,False
1532,Joy Oladokun,Blame,2019-11-04 17:47:00,0,0 days 00:03:35.227000000,False
1533,Kendrick Lamar,LOVE. FEAT. ZACARI.,2019-11-04 17:50:00,0,0 days 00:03:33.400000000,False
1534,Arizona Zervas,ROXANNE,2019-11-04 18:49:00,0,0 days 00:02:43.636000000,False
1535,Hippo Campus,baseball,2019-11-04 18:52:00,0,0 days 00:03:18.106000000,False
1536,Quinn XCII,Wounds,2019-11-04 18:53:00,0,0 days 00:00:55.126000000,False
1537,boy pablo,Feeling Lonely,2019-11-04 18:56:00,0,0 days 00:03:14.432000000,False
1538,Wallows,Are You Bored Yet? (feat. Clairo),2019-11-04 18:56:00,0,0 days 00:00:00.418000000,True
1539,boy pablo,Feeling Lonely,2019-11-04 18:57:00,0,0 days 00:00:53.920000000,False
1540,alt-J,Breezeblocks,2019-11-04 18:57:00,0,0 days 00:02:51.711000000,False
1541,The 1975,Frail State Of Mind,2019-11-04 19:00:00,0,0 days 00:00:11.405000000,True
1542,The 1975,Frail State Of Mind,2019-11-04 19:00:00,0,0 days 00:00:00.704000000,True
1543,Harry Styles,Lights Up,2019-11-04 19:00:00,0,0 days 00:00:03.167000000,True
1544,Wallows,Are You Bored Yet? (feat. Clairo),2019-11-04 19:00:00,0,0 days 00:00:09.941000000,True
1545,Wallows,Are You Bored Yet? (feat. Clairo),2019-11-04 19:00:00,0,0 days 00:02:58.000000000,False
1546,Rex Orange County,Every Way,2019-11-04 19:01:00,0,0 days 00:00:01.621000000,True
1547,Frank Ocean,DHL,2019-11-04 19:01:00,0,0 days 00:01:11.146000000,False
1548,Rex Orange County,Laser Lights,2019-11-04 19:02:00,0,0 days 00:00:00.437000000,True
1549,Tame Impala,It Might Be Time,2019-11-04 19:06:00,0,0 days 00:03:59.413000000,False
1550,Kanye West,Follow God,2019-11-04 19:06:00,0,0 days 00:00:57.354000000,False
1551,Quinn XCII,Walls,2019-11-04 19:06:00,0,0 days 00:00:01.344000000,True
1552,Post Malone,Circles,2019-11-04 19:07:00,0,0 days 00:00:01.343000000,True
1553,Chelsea Cutler,Lucky,2019-11-04 19:09:00,0,0 days 00:02:12.885000000,False
1554,Alexander 23,Dirty AF1s,2019-11-04 19:10:00,0,0 days 00:01:42.837000000,False
1555,Alexander 23,When I Die,2019-11-04 19:13:00,0,0 days 00:02:03.114000000,False
1556,Alexander 23,Sad,2019-11-04 19:14:00,0,0 days 00:01:18.826000000,False
1557,The Chainsmokers,Takeaway (feat. Lennon Stella),2019-11-04 19:16:00,0,0 days 00:02:02.218000000,False
1558,Bryce Vine,Drew Barrymore,2019-11-04 19:18:00,0,0 days 00:02:31.423000000,False
1559,Bryce Vine,Drew Barrymore,2019-11-04 19:20:00,0,0 days 00:00:01.429000000,True
1560,Jonas Blue,Polaroid,2019-11-04 19:20:00,0,0 days 00:01:49.141000000,False
1561,Lennon Stella,Fortress,2019-11-04 19:20:00,0,0 days 00:00:02.975000000,True
1562,Soleima,STFU,2019-11-04 19:23:00,0,0 days 00:02:13.301000000,False
1563,Russ,BEST ON EARTH (feat. BIA) - Bonus,2019-11-04 19:25:00,0,0 days 00:01:53.066000000,False
1564,Lennon Stella,Fortress,2019-11-04 19:27:00,0,0 days 00:02:54.706000000,False
1565,Russ,Losin Control,2019-11-04 19:28:00,0,0 days 00:00:20.853000000,True
1566,Russ,What They Want,2019-11-04 19:31:00,0,0 days 00:02:45.853000000,False
1567,Russ,Ain't Nobody Takin My Baby,2019-11-04 19:33:00,0,0 days 00:02:46.645000000,False
1568,Russ,Nobody Knows,2019-11-04 19:36:00,0,0 days 00:03:10.858000000,False
1569,Dua Lipa,Don't Start Now,2019-11-04 19:39:00,0,0 days 00:03:03.290000000,False
1570,Bryce Vine,Drew Barrymore,2019-11-05 02:48:00,1,0 days 00:00:05.077000000,True
1571,Bea Miller,THAT BITCH,2019-11-05 02:48:00,1,0 days 00:00:13.280000000,True
1572,Pink Sweat$,I Wanna Be Yours,2019-11-05 02:48:00,1,0 days 00:03:12.858000000,False
1573,Lennon Stella,Kissing Other People,2019-11-05 02:51:00,1,0 days 00:02:41.626000000,False
1574,Labrinth,Where The Wild Things,2019-11-05 02:54:00,1,0 days 00:02:59.202000000,False
1575,Hippo Campus,Buttercup,2019-11-05 02:54:00,1,0 days 00:00:07.797000000,True
1576,Cold War Kids,Dirt in my Eyes,2019-11-05 02:56:00,1,0 days 00:01:32.725000000,False
1577,Loud Luxury,I'm Not Alright,2019-11-05 02:59:00,1,0 days 00:03:07.797000000,False
1578,Bryce Vine,Sunflower Seeds,2019-11-05 03:03:00,1,0 days 00:03:48.610000000,False
1579,Bryce Vine,Bella (feat. Emma Zander),2019-11-05 03:04:00,1,0 days 00:01:21.987000000,False
1580,Hippo Campus,Doubt,2019-11-05 03:07:00,1,0 days 00:03:13.186000000,False
1581,Bryce Vine,Guilty Pleasure,2019-11-05 03:09:00,1,0 days 00:01:23.834000000,False
1582,Hippo Campus,Boyish,2019-11-05 03:12:00,1,0 days 00:03:24.078000000,False
1583,Hippo Campus,Ease up Kid - Demo,2019-11-05 03:15:00,1,0 days 00:02:40.453000000,False
1584,Hippo Campus,Way It Goes,2019-11-05 03:19:00,1,0 days 00:04:05.456000000,False
1585,Hippo Campus,Honestly,2019-11-05 03:20:00,1,0 days 00:01:51.347000000,False
1586,Hippo Campus,warm glow,2019-11-05 03:26:00,1,0 days 00:05:58.870000000,False
1587,Hippo Campus,Bubbles,2019-11-05 03:34:00,1,0 days 00:01:14.894000000,False
1588,Hippo Campus,warm glow,2019-11-05 03:34:00,1,0 days 00:00:02.528000000,True
1589,Hippo Campus,Bubbles,2019-11-05 03:37:00,1,0 days 00:02:50.466000000,False
1590,Hippo Campus,No Poms - Demo,2019-11-05 03:40:00,1,0 days 00:02:51.573000000,False
1591,Hippo Campus,Golden,2019-11-05 03:43:00,1,0 days 00:03:28.280000000,False
1592,Hippo Campus,Chapstick - Demo,2019-11-05 03:45:00,1,0 days 00:02:12.419000000,False
1593,Hippo Campus,South,2019-11-05 03:49:00,1,0 days 00:03:51.468000000,False
1594,Hippo Campus,Suicide Saturday,2019-11-05 03:52:00,1,0 days 00:00:07.440000000,True
1595,Hippo Campus,Simple Season,2019-11-05 03:52:00,1,0 days 00:03:27.133000000,False
1596,Hippo Campus,Bambi,2019-11-05 03:52:00,1,0 days 00:00:01.429000000,True
1597,Hippo Campus,baseball,2019-11-05 03:53:00,1,0 days 00:00:01.546000000,True
1598,Hippo Campus,Buttercup,2019-11-05 03:53:00,1,0 days 00:00:01.226000000,True
1599,Hippo Campus,Doubt,2019-11-05 03:56:00,1,0 days 00:03:13.186000000,False
1600,The Band CAMINO,Less Than I Do,2019-11-05 03:57:00,1,0 days 00:00:45.610000000,False
1601,Hippo Campus,Way It Goes,2019-11-05 03:57:00,1,0 days 00:00:03.317000000,True
1602,Hippo Campus,Ease up Kid - Demo,2019-11-05 03:59:00,1,0 days 00:02:40.453000000,False
1603,Hippo Campus,Golden,2019-11-05 04:03:00,1,0 days 00:03:28.280000000,False
1604,Hippo Campus,South,2019-11-05 04:04:00,1,0 days 00:01:08.541000000,False
1605,Hippo Campus,warm glow,2019-11-05 04:10:00,1,0 days 00:05:58.870000000,False
1606,Hippo Campus,Honestly,2019-11-05 04:12:00,1,0 days 00:02:38.026000000,False
1607,Hippo Campus,Simple Season,2019-11-05 04:16:00,1,0 days 00:03:27.133000000,False
1608,Hippo Campus,Suicide Saturday,2019-11-05 04:19:00,1,0 days 00:00:06.880000000,True
1609,Hippo Campus,Bambi,2019-11-05 04:19:00,1,0 days 00:03:14.400000000,False
1610,Hippo Campus,Chapstick - Demo,2019-11-05 04:22:00,1,0 days 00:03:18.373000000,False
1611,Hippo Campus,Bubbles,2019-11-05 04:25:00,1,0 days 00:02:50.466000000,False
1612,Hippo Campus,baseball,2019-11-05 04:26:00,1,0 days 00:00:02.090000000,True
1613,Hippo Campus,No Poms - Demo,2019-11-05 04:26:00,1,0 days 00:01:01.714000000,False
1614,Hippo Campus,Buttercup,2019-11-05 04:28:00,1,0 days 00:00:02.730000000,True
1615,Hippo Campus,Doubt,2019-11-05 04:28:00,1,0 days 00:02:04.661000000,False
1616,Hippo Campus,Boyish,2019-11-05 04:31:00,1,0 days 00:03:24.078000000,False
1617,Hippo Campus,Ease up Kid - Demo,2019-11-05 04:32:00,1,0 days 00:00:02.495000000,True
1618,The Band CAMINO,See Through,2019-11-05 04:32:00,1,0 days 00:00:11.488000000,True
1619,Mt. Joy,Julia,2019-11-05 04:32:00,1,0 days 00:00:02.666000000,True
1620,Hippo Campus,Simple Season,2019-11-05 04:35:00,1,0 days 00:03:27.133000000,False
1621,Hippo Campus,South,2019-11-05 04:56:00,1,0 days 00:02:09.660000000,False
1622,Tow'rs,Who Will I Love,2019-11-05 05:01:00,1,0 days 00:04:38.613000000,False
1623,Tow'rs,Pink Confetti,2019-11-05 05:07:00,1,0 days 00:06:21.640000000,False
1624,Tow'rs,Tangerine Skies,2019-11-05 05:12:00,1,0 days 00:04:33.333000000,False
1625,Tow'rs,Paradox,2019-11-05 05:15:00,1,0 days 00:03:49.520000000,False
1626,Tow'rs,Consolations,2019-11-05 05:20:00,1,0 days 00:04:21.000000000,False
1627,Tow'rs,Autumn Leaves,2019-11-05 05:24:00,1,0 days 00:04:38.653000000,False
1628,Tow'rs,Girl in Calico,2019-11-05 05:28:00,1,0 days 00:03:28.710000000,False
1629,Tow'rs,Water Under the Bridge,2019-11-05 05:32:00,1,0 days 00:04:43.173000000,False
1630,Tow'rs,The Kitchen,2019-11-05 05:37:00,1,0 days 00:04:27.680000000,False
1631,Tow'rs,Older Reflections,2019-11-05 05:41:00,1,0 days 00:04:19.652000000,False
1632,Tow'rs,All the Sundered Things,2019-11-05 05:45:00,1,0 days 00:04:06.200000000,False
1633,Tow'rs,Melancholy Blues,2019-11-05 05:49:00,1,0 days 00:04:20.906000000,False
1634,Tow'rs,Vanilla Pines,2019-11-05 05:53:00,1,0 days 00:03:39.492000000,False
1635,Tow'rs,Liminal,2019-11-05 05:57:00,1,0 days 00:04:30.106000000,False
1636,Tow'rs,Belly of the Deepest Love,2019-11-05 05:57:00,1,0 days 00:00:07.095000000,True
1637,Tow'rs,I Can't Help Myself,2019-11-05 06:01:00,1,0 days 00:03:47.520000000,False
1638,Hailee Steinfeld,Afterlife,2019-11-05 08:09:00,1,0 days 00:03:29.200000000,False
1639,Bea Miller,THAT BITCH,2019-11-05 08:10:00,1,0 days 00:01:06.402000000,False
1640,Lennon Stella,Kissing Other People,2019-11-05 08:10:00,1,0 days 00:00:01.984000000,True
1641,Labrinth,Where The Wild Things,2019-11-05 08:13:00,1,0 days 00:03:14.477000000,False
1642,Cold War Kids,Dirt in my Eyes,2019-11-05 08:13:00,1,0 days 00:00:00.230000000,True
1643,Loud Luxury,I'm Not Alright,2019-11-05 08:16:00,1,0 days 00:03:07.797000000,False
1644,Tow'rs,Worn out Shoes,2019-11-05 08:17:00,1,0 days 00:00:29.442000000,True
1645,Bryce Vine,Sunflower Seeds,2019-11-05 08:20:00,1,0 days 00:03:48.610000000,False
1646,Bryce Vine,Bella (feat. Emma Zander),2019-11-05 08:20:00,1,0 days 00:00:21.282000000,True
1647,Hailee Steinfeld,Afterlife,2019-11-05 17:04:00,1,0 days 00:00:02.741000000,True
1648,Jon Bellion,Eyes To The Sky,2019-11-05 17:04:00,1,0 days 00:00:01.898000000,True
1649,Jon Bellion,Eyes To The Sky,2019-11-05 17:04:00,1,0 days 00:02:13.245000000,False
1650,Bryce Vine,Guilty Pleasure,2019-11-05 17:04:00,1,0 days 00:00:02.229000000,True
1651,Bryce Vine,Bella (feat. Emma Zander),2019-11-05 17:04:00,1,0 days 00:00:00.981000000,True
1652,Rex Orange County,It Gets Better,2019-11-05 17:07:00,1,0 days 00:03:32.893000000,False
1653,Donnie Trumpet & The Social Experiment,Sunday Candy,2019-11-05 17:08:00,1,0 days 00:00:01.311000000,True
1654,Ruel,Real Thing,2019-11-05 17:08:00,1,0 days 00:00:46.037000000,False
1655,YOG$,Alive,2019-11-05 17:11:00,1,0 days 00:00:01.706000000,True
1656,Soleima,Friend,2019-11-05 17:11:00,1,0 days 00:02:52.384000000,False
1657,Leach,Little Taste of Heaven,2019-11-05 17:11:00,1,0 days 00:00:01.045000000,True
1658,Leach,Little Taste of Heaven,2019-11-05 17:14:00,1,0 days 00:02:47.743000000,False
1659,YOG$,Alive,2019-11-05 17:15:00,1,0 days 00:00:59.584000000,False
1660,Those Dancing Days,I'll Be Yours,2019-11-05 17:15:00,1,0 days 00:00:02.047000000,True
1661,Bryce Vine,Guilty Pleasure,2019-11-05 17:19:00,1,0 days 00:00:04.949000000,True
1662,Rex Orange County,Face to Face,2019-11-05 17:22:00,1,0 days 00:03:28.128000000,False
1663,Rex Orange County,Face to Face,2019-11-05 18:56:00,1,0 days 00:03:39.800000000,False
1664,Rex Orange County,Always,2019-11-05 19:00:00,1,0 days 00:03:17.333000000,False
1665,Hippo Campus,Doubt,2019-11-06 03:27:00,2,0 days 00:02:55.168000000,False
1666,Bryce Vine,Guilty Pleasure,2019-11-06 03:30:00,2,0 days 00:02:00.466000000,False
1667,Gryffin,Winnebago (feat. Quinn XCII & Daniel Wilson),2019-11-06 03:33:00,2,0 days 00:02:59.936000000,False
1668,Jon Bellion,Eyes To The Sky,2019-11-06 03:35:00,2,0 days 00:02:44.706000000,False
1669,Ruel,Real Thing,2019-11-06 03:38:00,2,0 days 00:00:03.877000000,True
1670,Mumford & Sons,Blind Leading The Blind,2019-11-06 03:38:00,2,0 days 00:00:01.091000000,True
1671,Hippo Campus,Ease up Kid - Demo,2019-11-06 03:38:00,2,0 days 00:02:40.453000000,False
1672,Soleima,Friend,2019-11-06 03:38:00,2,0 days 00:00:16.887000000,True
1673,Rex Orange County,Always,2019-11-06 03:41:00,2,0 days 00:03:17.332000000,False
1674,Mac Miller,Small Worlds,2019-11-06 03:42:00,2,0 days 00:00:57.296000000,False
1675,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),2019-11-06 03:42:00,2,0 days 00:00:00.952000000,True
1676,Disclosure,You & Me - Flume Remix,2019-11-06 03:42:00,2,0 days 00:00:01.253000000,True
1677,Hippo Campus,baseball,2019-11-06 03:46:00,2,0 days 00:03:18.106000000,False
1678,Those Dancing Days,I'll Be Yours,2019-11-06 03:46:00,2,0 days 00:00:40.361000000,False
1679,Donnie Trumpet & The Social Experiment,Sunday Candy,2019-11-06 03:51:00,2,0 days 00:00:00.835000000,True
1680,Ben Rector,Kids,2019-11-06 03:51:00,2,0 days 00:00:00.952000000,True
1681,Ben Rector,Kids,2019-11-06 03:51:00,2,0 days 00:00:02.229000000,True
1682,Rex Orange County,Nothing,2019-11-06 03:51:00,2,0 days 00:04:26.123000000,False
1683,Rex Orange County,Nothing,2019-11-06 03:51:00,2,0 days 00:00:00.603000000,True
1684,Rex Orange County,Stressed Out,2019-11-06 03:51:00,2,0 days 00:00:00.952000000,True
1685,Rex Orange County,Stressed Out,2019-11-06 03:51:00,2,0 days 00:00:29.489000000,True
1686,Rex Orange County,Stressed Out,2019-11-06 03:51:00,2,0 days 00:00:01.369000000,True
1687,Maude Latour,Ride My Bike,2019-11-06 03:55:00,2,0 days 00:03:15.572000000,False
1688,Rex Orange County,It's Not The Same Anymore,2019-11-06 03:57:00,2,0 days 00:02:12.455000000,False
1689,Mac Miller,Weekend (feat. Miguel),2019-11-06 06:40:00,2,0 days 00:00:56.480000000,False
1690,Louis The Child,Free (with Drew Love),2019-11-06 06:44:00,2,0 days 00:03:42.252000000,False
1691,Louis The Child,Space Jam,2019-11-06 06:45:00,2,0 days 00:00:35.626000000,False
1692,Jon Bellion,JT,2019-11-06 17:03:00,2,0 days 00:04:28.466000000,False
1693,Migos,Stir Fry,2019-11-06 17:05:00,2,0 days 00:01:51.605000000,False
1694,Sia,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",2019-11-06 17:08:00,2,0 days 00:03:07.026000000,False
1695,Louis The Child,Dear Sense (with MAX),2019-11-06 17:11:00,2,0 days 00:02:56.904000000,False
1696,Jon Bellion,Conversations with my Wife,2019-11-06 17:14:00,2,0 days 00:03:26.210000000,False
1697,Billie Eilish,wish you were gay,2019-11-06 17:18:00,2,0 days 00:03:41.543000000,False
1698,Jon Bellion,Guillotine,2019-11-06 17:21:00,2,0 days 00:03:28.124000000,False
1699,Rex Orange County,Corduroy Dreams,2019-11-06 17:27:00,2,0 days 00:03:26.974000000,False
1700,Rex Orange County,10/10,2019-11-06 17:30:00,2,0 days 00:02:26.093000000,False
1701,Lady Gaga,Always Remember Us This Way,2019-11-06 17:33:00,2,0 days 00:03:30.200000000,False
1702,Kacey Musgraves,High Horse,2019-11-06 17:58:00,2,0 days 00:03:33.693000000,False
1703,Rex Orange County,Television / So Far So Good,2019-11-06 18:02:00,2,0 days 00:04:22.600000000,False
1704,Mac Miller,Jet Fuel,2019-11-06 18:07:00,2,0 days 00:05:45.213000000,False
1705,Dennis Lloyd,Never Go Back,2019-11-06 18:10:00,2,0 days 00:02:55.424000000,False
1706,Quinn XCII,Fake Denim,2019-11-06 18:13:00,2,0 days 00:03:07.333000000,False
1707,Flume,Drop The Game,2019-11-06 18:17:00,2,0 days 00:03:41.894000000,False
1708,Jon Bellion,Blu,2019-11-06 18:20:00,2,0 days 00:03:03.344000000,False
1709,Post Malone,92 Explorer,2019-11-06 18:21:00,2,0 days 00:00:13.699000000,True
1710,Post Malone,92 Explorer,2019-11-06 18:22:00,2,0 days 00:00:28.049000000,True
1711,Post Malone,92 Explorer,2019-11-06 18:25:00,2,0 days 00:03:03.644000000,False
1712,Jon Bellion,Conversations with my Wife,2019-11-06 18:28:00,2,0 days 00:00:34.688000000,False
1713,Jon Bellion,Conversations with my Wife,2019-11-06 18:28:00,2,0 days 00:02:06.348000000,False
1714,Jon Bellion,Conversations with my Wife,2019-11-06 18:29:00,2,0 days 00:00:03.904000000,True
1715,Jon Bellion,JT,2019-11-06 18:29:00,2,0 days 00:00:02.111000000,True
1716,Social House,Magic In The Hamptons (feat. Lil Yachty),2019-11-06 18:32:00,2,0 days 00:02:44.640000000,False
1717,Jon Bellion,Guillotine,2019-11-06 18:43:00,2,0 days 00:00:17.301000000,True
1718,Emily Warren,Paranoid,2019-11-06 18:43:00,2,0 days 00:03:21.000000000,False
1719,Alexander 23,Mars,2019-11-06 19:18:00,2,0 days 00:00:37.877000000,False
1720,Migos,Stir Fry,2019-11-06 19:18:00,2,0 days 00:00:01.900000000,True
1721,Joy Oladokun,Blame,2019-11-06 19:18:00,2,0 days 00:03:33.199000000,False
1722,Jon Bellion,Conversations with my Wife,2019-11-06 19:19:00,2,0 days 00:00:00.704000000,True
1723,Jon Bellion,Conversations with my Wife,2019-11-06 19:20:00,2,0 days 00:00:05.034000000,True
1724,Lennon Stella,La Di Da,2019-11-06 19:34:00,2,0 days 00:03:29.773000000,False
